proyecto,id_expediente,tipo,estado,region,hito_pre_adenda,tiene_icsara,n_pacs,n_adendas,n_icsaras,dias_ingreso_a_admisibilidad,dias_admisibilidad_a_solicitud,dias_solicitud_a_icsara1,dias_icsara1_a_pac1,dias_pre_adenda_a_adenda1,dias_solicitud_a_ice,dias_ultima_adenda_a_ice,dias_ice_a_rca,dias_totales_ingreso_a_rca,dias_habiles_ingreso_a_admisibilidad,dias_habiles_admisibilidad_a_solicitud,dias_habiles_solicitud_a_icsara1,dias_habiles_icsara1_a_pac1,dias_habiles_pre_adenda_a_adenda1,dias_habiles_solicitud_a_ice,dias_habiles_ultima_adenda_a_ice,dias_habiles_ice_a_rca,dias_habiles_totales_ingreso_a_rca
ESTACION DE TRANSFERENCIA Y CENTRO LOGISTICO DE CARGA Y BODEGAS,2161787884,DIA,Otro,Región de Antofagasta,,False,0,0,0,7,,,,,,,,,5,,,,,,,,
Modificación de proyecto Parque Eólico Horizonte,2161569727,DIA,Aprobado,Región de Antofagasta,PAC,True,1,2,2,8,0,45,142,21,383,27,23,414,5,0,30,95,15,260,18,16,281
Explotación Mina Inesperada,2161776506,DIA,Desistido,Región de Antofagasta,,False,0,0,0,,,,,,,,,,,,,,,,,,
TRANSPORTE DE ÁCIDO SULFÚRICO EN TRACTOCAMIONES HACIA MINERA ESCONDIDA Y MINERA ZALDÍVAR DESDE PUNTOS DE DESPACHO DE LA REGIÓN DE ANTOFAGASTA,2161233608,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,6,0,42,,317,486,28,25,517,4,0,30,,214,332,19,16,352
Parque Fotovoltaico Los Durmientes,2161095944,DIA,Aprobado,Región de Antofagasta,PAC,True,1,2,2,5,0,42,85,271,542,25,24,571,3,0,30,58,183,370,18,16,389
Obras Complementarias y Ajustes Operacionales Mina Chuquicamata Subterránea,2161051918,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,5,0,42,,115,309,30,22,336,3,0,30,,79,210,20,16,229
Reúso de infraestructura de agua industrial,2161113857,DIA,Aprobado,Región de Antofagasta,ICSARA,True,0,2,2,4,0,42,,106,238,26,28,270,2,0,30,,73,164,18,17,183
Proyecto de Producción de Hidrógeno y Amoniaco Verde - H2 Magallanes,2165025085,EIA,En Calificación (Suspendido),Región de Magallanes,PAC,True,1,0,1,7,0,87,84,,,,,,5,0,60,57,,,,,
Proyecto integral para la producción y exportación de amoniaco verde - HNH ENERGY,2162603863,EIA,En Calificación (Suspendido),Región de Magallanes,PAC,True,1,1,2,7,0,90,30,280,,,,,5,0,60,20,192,,,,
Parque Fotovoltaico Rinconada Solar,2166000484,EIA,En Calificación (Suspendido),Región Metropolitana,PAC,True,1,0,1,6,1,88,63,,,,,,3,1,59,42,,,,,
Parque Fotovoltaico Rinconada Solar,2165628704,EIA,Desistido,Región Metropolitana,,False,0,0,0,,,,,,,,,,,,,,,,,,
Continuidad de Explotación Mina Caolín El Guindo,2165451075,EIA,En Calificación (Suspendido),Región Metropolitana,PAC,True,1,1,2,8,0,90,43,103,,,,,5,0,60,30,70,,,,
"Tramo 3 Línea 9 Metro de Santiago, La Pintana Puente Alto",2165205569,EIA,En Calificación (Suspendido),Región Metropolitana,PAC,True,1,1,2,7,0,87,74,91,,,,,5,0,60,49,62,,,,
Infraestructura Energética Mejillones,3543720,EIA,Aprobado,Región de Antofagasta,ICSARA,True,0,6,3,7,3,81,,59,375,35,28,413,5,1,57,,39,259,25,20,285
"Planta de Producción de Sales de Potasio, SLM NX Uno de Peine",3569205,EIA,Rechazado,Región de Antofagasta,ICSARA,True,0,15,7,7,0,68,,289,1280,,36,1323,5,0,46,,199,881,,23,909
Modificaciones y Mejoramiento del Sistema de pozas de Evaporación Solar en el Salar de Atacama,3656854,EIA,Desistido,Región de Antofagasta,,False,0,0,0,,,,,,,,,,,,,,,,,,
Modificaciones y Mejoramiento del Sistema de Pozas de Evaporación Solar en el Salar de Atacama,3712373,EIA,Desistido,Región de Antofagasta,,False,0,0,0,,,,,,,,,,,,,,,,,,
EIA Modificaciones y Mejoramiento del Sistema de Pozas de Evaporación Solar en el Salar de Atacama,3788682,EIA,Aprobado,Región de Antofagasta,ICSARA,True,0,8,5,5,0,56,,76,821,,24,850,3,0,38,,52,567,,16,586
Modificaciones Faena Minera Zaldívar,3918002,EIA,Aprobado,Región de Antofagasta,ICSARA,True,1,6,3,6,0,62,36,4,176,35,27,209,4,0,43,25,4,121,23,19,144
Terminal para Carga y Descarga de Combustibles Mejillones,4079649,EIA,No Admitido a Tramitación,Región de Antofagasta,,False,0,0,0,6,,,,,,,,,4,,,,,,,,
